STATE,Latitude,Longitude,Inhabited_villages,Uninhabited_villages,Towns,Households,Total_Population,Males_Population,Females_Population,Area,Density,WIND_SPEED,YEAR,ECONOMIC_LOSS,CASUALITIES,GDP_VALUE
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,240,1970,6640000,500,7394
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,165,1971,714000,100,6548
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,260,1991,7900000,1386,8109
ANDHRA PRADESH,14.7504291,78.57002559,26286,1514,353,21022588,84580777,42442146,42138631,275045,308,145,1996,802000,107,11202
GUJARAT,23.22,72.68,17843,382,348,12248428,60439692,31491260,28948432,196244,308,165,1998,300000,173,16153
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,259,1999,8440000,1500,10453
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,260,1999,7400000,2000,10453
WEST BENGAL,22.58039044,88.32994665,37469,2734,909,20380315,91276115,46809027,44467088,88752,1028,100,2002,107400,173,16583
MAHARASHTRA,19.25023195,73.16017493,40959,2706,534,24421519,112374333,58243056,54131277,307713,365,100,2004,114000,80,41965
MADHYA PRADESH,21.30039105,76.13001949,51929,2974,476,15093256,72626809,37612306,35014503,308252,236,65,2005,51400,273,16631
TAMIL NADU,12.92038576,79.15004187,15049,930,1097,18524982,72147030,36137975,36009055,130060,555,85,2005,77500,90,31239
ANDAMAN AND NICOBAR ISLANDS,11.66702557,92.73598262,396,159,5,94551,380581,202871,177710,8249,46,185,2006,1050000,267,44754
WEST BENGAL,22.58039044,88.32994665,37469,2734,909,20380315,91276115,46809027,44467088,88752,1028,260,2007,8780000,1000,24720
WEST BENGAL,22.58039044,88.32994665,37469,2734,909,20380315,91276115,46809027,44467088,88752,1028,95,2007,94000,200,24720
ANDHRA PRADESH,14.7504291,78.57002559,26286,1514,353,21022588,84580777,42442146,42138631,275045,308,65,2008,20000,100,58733
MANIPUR,24.79997072,93.95001705,2515,67,51,557859,2855794,1438586,1417208,22327,128,200,2008,1540000,1387,28336
