STATE,Latitude,Longitude,Inhabited_villages,Uninhabited_villages,Towns,Households,Total_Population,Males_Population,Females_Population,Area,Density,WIND_SPEED,YEAR,ECONOMIC_LOSS,CASUALITIES,GDP_VALUE
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,232,1970,6600436,486,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,232,1970,6601180,490,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,243,1970,6601293,511,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,235,1970,6601306,490,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,249,1970,6601982,506,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,244,1970,6602398,511,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,236,1970,6602834,486,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,237,1970,6604829,488,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,237,1970,6605102,488,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,244,1970,6605349,505,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,236,1970,6607334,512,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,239,1970,6607524,507,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,242,1970,6608057,513,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,239,1970,6608688,491,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,238,1970,6608691,509,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,247,1970,6609308,509,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,244,1970,6674195,511,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,232,1970,6675165,488,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,246,1970,6675626,506,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,237,1970,6675677,490,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,242,1970,6676708,505,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,248,1970,6677962,510,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,239,1970,6678001,490,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,234,1970,6678584,494,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,236,1970,6678613,486,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,231,1970,6679356,508,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,241,1970,6679416,512,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,241,1970,6679508,512,7394
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398,238,1970,6679754,495,7394
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,174,1971,675222,106,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,157,1971,675340,91,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,164,1971,675353,88,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,173,1971,675972,109,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,173,1971,676365,93,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,174,1971,676726,108,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,158,1971,678299,111,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,171,1971,679635,110,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,163,1971,680509,88,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,168,1971,680512,106,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,166,1971,680777,111,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,157,1971,681542,91,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,171,1971,682021,105,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,166,1971,682226,108,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,157,1971,682592,90,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,170,1971,682775,107,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,168,1971,744803,109,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,164,1971,745621,93,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,160,1971,747009,92,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,172,1971,747867,114,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,156,1971,748741,88,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,167,1971,749236,94,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,156,1971,749428,91,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,172,1971,749542,106,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,174,1971,749572,110,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,173,1971,749746,109,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,160,1971,751251,90,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,174,1971,752223,114,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,164,1971,752756,86,6548
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270,171,1971,753005,109,6548
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,269,1991,7860558,1374,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,258,1991,7862577,1397,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,259,1991,7863814,1378,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,258,1991,7863994,1381,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,269,1991,7864281,1375,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,261,1991,7864994,1392,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,267,1991,7865192,1395,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,268,1991,7866004,1391,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,259,1991,7866259,1400,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,261,1991,7866381,1381,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,258,1991,7866854,1397,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,257,1991,7868004,1400,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,251,1991,7869507,1400,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,263,1991,7869856,1391,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,268,1991,7869879,1379,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,257,1991,7869915,1372,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,265,1991,7930186,1397,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,255,1991,7931164,1377,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,259,1991,7931457,1374,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,269,1991,7933131,1400,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,258,1991,7935824,1373,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,256,1991,7936584,1378,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,264,1991,7936964,1395,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,261,1991,7938001,1395,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,259,1991,7938052,1393,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,257,1991,7938426,1373,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,264,1991,7939041,1397,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,257,1991,7939089,1373,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,269,1991,7939674,1398,8109
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350,269,1991,7939738,1392,8109
ANDHRA PRADESH,14.7504291,78.57002559,26286,1514,353,21022588,84580777,42442146,42138631,275045,308,138,1996,762766,101,11202
ANDHRA PRADESH,14.7504291,78.57002559,26286,1514,353,21022588,84580777,42442146,42138631,275045,308,150,1996,763005,100,11202
ANDHRA PRADESH,14.7504291,78.57002559,26286,1514,353,21022588,84580777,42442146,42138631,275045,308,143,1996,763090,119,11202
