WIND_SPEED,YEAR,STATE,ECONOMIC_LOSS,CASUALITIES
232,1970,ASSAM,6600436,486
232,1970,ASSAM,6601180,490
243,1970,ASSAM,6601293,511
235,1970,ASSAM,6601306,490
249,1970,ASSAM,6601982,506
244,1970,ASSAM,6602398,511
236,1970,ASSAM,6602834,486
237,1970,ASSAM,6604829,488
237,1970,ASSAM,6605102,488
244,1970,ASSAM,6605349,505
236,1970,ASSAM,6607334,512
239,1970,ASSAM,6607524,507
242,1970,ASSAM,6608057,513
239,1970,ASSAM,6608688,491
238,1970,ASSAM,6608691,509
247,1970,ASSAM,6609308,509
244,1970,ASSAM,6674195,511
232,1970,ASSAM,6675165,488
246,1970,ASSAM,6675626,506
237,1970,ASSAM,6675677,490
242,1970,ASSAM,6676708,505
248,1970,ASSAM,6677962,510
239,1970,ASSAM,6678001,490
234,1970,ASSAM,6678584,494
236,1970,ASSAM,6678613,486
231,1970,ASSAM,6679356,508
241,1970,ASSAM,6679416,512
241,1970,ASSAM,6679508,512
238,1970,ASSAM,6679754,495
174,1971,ODISHA,675222,106
157,1971,ODISHA,675340,91
164,1971,ODISHA,675353,88
173,1971,ODISHA,675972,109
173,1971,ODISHA,676365,93
174,1971,ODISHA,676726,108
158,1971,ODISHA,678299,111
171,1971,ODISHA,679635,110
163,1971,ODISHA,680509,88
168,1971,ODISHA,680512,106
166,1971,ODISHA,680777,111
157,1971,ODISHA,681542,91
171,1971,ODISHA,682021,105
166,1971,ODISHA,682226,108
157,1971,ODISHA,682592,90
170,1971,ODISHA,682775,107
168,1971,ODISHA,744803,109
164,1971,ODISHA,745621,93
160,1971,ODISHA,747009,92
172,1971,ODISHA,747867,114
156,1971,ODISHA,748741,88
167,1971,ODISHA,749236,94
156,1971,ODISHA,749428,91
172,1971,ODISHA,749542,106
174,1971,ODISHA,749572,110
173,1971,ODISHA,749746,109
160,1971,ODISHA,751251,90
174,1971,ODISHA,752223,114
164,1971,ODISHA,752756,86
171,1971,ODISHA,753005,109
269,1991,TRIPURA,7860558,1374
258,1991,TRIPURA,7862577,1397
259,1991,TRIPURA,7863814,1378
258,1991,TRIPURA,7863994,1381
269,1991,TRIPURA,7864281,1375
261,1991,TRIPURA,7864994,1392
267,1991,TRIPURA,7865192,1395
268,1991,TRIPURA,7866004,1391
259,1991,TRIPURA,7866259,1400
261,1991,TRIPURA,7866381,1381
258,1991,TRIPURA,7866854,1397
257,1991,TRIPURA,7868004,1400
251,1991,TRIPURA,7869507,1400
263,1991,TRIPURA,7869856,1391
268,1991,TRIPURA,7869879,1379
257,1991,TRIPURA,7869915,1372
265,1991,TRIPURA,7930186,1397
255,1991,TRIPURA,7931164,1377
259,1991,TRIPURA,7931457,1374
269,1991,TRIPURA,7933131,1400
258,1991,TRIPURA,7935824,1373
256,1991,TRIPURA,7936584,1378
264,1991,TRIPURA,7936964,1395
261,1991,TRIPURA,7938001,1395
259,1991,TRIPURA,7938052,1393
257,1991,TRIPURA,7938426,1373
264,1991,TRIPURA,7939041,1397
257,1991,TRIPURA,7939089,1373
269,1991,TRIPURA,7939674,1398
269,1991,TRIPURA,7939738,1392
138,1996,ANDHRA PRADESH,762766,101
150,1996,ANDHRA PRADESH,763005,100
143,1996,ANDHRA PRADESH,763090,119
141,1996,ANDHRA PRADESH,764043,99
148,1996,ANDHRA PRADESH,764389,112
147,1996,ANDHRA PRADESH,765255,115
137,1996,ANDHRA PRADESH,766460,96
148,1996,ANDHRA PRADESH,767148,113
148,1996,ANDHRA PRADESH,767402,121
150,1996,ANDHRA PRADESH,768170,121
149,1996,ANDHRA PRADESH,768173,118
137,1996,ANDHRA PRADESH,770112,95
149,1996,ANDHRA PRADESH,770327,117
154,1996,ANDHRA PRADESH,771532,98
151,1996,ANDHRA PRADESH,771792,114
153,1996,ANDHRA PRADESH,771967,117
147,1996,ANDHRA PRADESH,832185,99
144,1996,ANDHRA PRADESH,832699,120
136,1996,ANDHRA PRADESH,834078,98
154,1996,ANDHRA PRADESH,834931,116
153,1996,ANDHRA PRADESH,835362,121
139,1996,ANDHRA PRADESH,835437,119
151,1996,ANDHRA PRADESH,835634,117
139,1996,ANDHRA PRADESH,835672,121
137,1996,ANDHRA PRADESH,836886,93
150,1996,ANDHRA PRADESH,837420,98
148,1996,ANDHRA PRADESH,838704,100
149,1996,ANDHRA PRADESH,838864,101
154,1996,ANDHRA PRADESH,839771,114
143,1996,ANDHRA PRADESH,840586,98
161,1998,GUJARAT,260303,165
167,1998,GUJARAT,260980,165
174,1998,GUJARAT,261276,186
168,1998,GUJARAT,261303,185
174,1998,GUJARAT,261893,183
172,1998,GUJARAT,263030,180
174,1998,GUJARAT,263816,179
172,1998,GUJARAT,264314,182
173,1998,GUJARAT,264679,184
169,1998,GUJARAT,264934,182
160,1998,GUJARAT,265402,160
171,1998,GUJARAT,266170,181
167,1998,GUJARAT,267826,184
157,1998,GUJARAT,268392,163
172,1998,GUJARAT,268650,184
158,1998,GUJARAT,269255,166
173,1998,GUJARAT,269780,181
167,1998,GUJARAT,330189,186
169,1998,GUJARAT,330353,182
168,1998,GUJARAT,330813,161
167,1998,GUJARAT,332011,183
169,1998,GUJARAT,334831,182
158,1998,GUJARAT,335072,160
173,1998,GUJARAT,335740,187
162,1998,GUJARAT,336129,159
160,1998,GUJARAT,336797,159
170,1998,GUJARAT,337178,178
163,1998,GUJARAT,337540,168
172,1998,GUJARAT,337763,182
162,1998,GUJARAT,338446,182
259,1999,ODISHA,7360234,1990
259,1999,ODISHA,7360869,1986
269,1999,ODISHA,7360890,2008
252,1999,ODISHA,7361360,2014
254,1999,ODISHA,7361487,1993
258,1999,ODISHA,7362021,1991
264,1999,ODISHA,7363901,2009
264,1999,ODISHA,7363911,2010
262,1999,ODISHA,7364608,2005
251,1999,ODISHA,7365982,1994
254,1999,ODISHA,7366273,1993
253,1999,ODISHA,7366293,1990
259,1999,ODISHA,7367771,1989
264,1999,ODISHA,7368185,2009
258,1999,ODISHA,7368526,1994
268,1999,ODISHA,7369448,2014
256,1999,ODISHA,7369491,2013
261,1999,ODISHA,7430517,1986
258,1999,ODISHA,7430928,2008
264,1999,ODISHA,7433128,2005
255,1999,ODISHA,7433212,1987
257,1999,ODISHA,7433315,1991
253,1999,ODISHA,7434990,1990
262,1999,ODISHA,7436320,2008
252,1999,ODISHA,7436421,1989
267,1999,ODISHA,7436633,2008
264,1999,ODISHA,7436726,2008
264,1999,ODISHA,7436828,1989
264,1999,ODISHA,7438662,2005
258,1999,ODISHA,8400476,1486
255,1999,ODISHA,8400685,1491
251,1999,ODISHA,8400740,1488
252,1999,ODISHA,8400870,1491
253,1999,ODISHA,8400891,1487
253,1999,ODISHA,8402422,1511
260,1999,ODISHA,8403320,1510
258,1999,ODISHA,8403453,1492
255,1999,ODISHA,8404797,1511
252,1999,ODISHA,8406344,1488
257,1999,ODISHA,8406354,1490
